Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1998,NBA,1,25,Al Harrington,,981,28009,13237,5482,1649,.444,.352,.727,28.6,13.5,5.6,1.7,42.5,.073,-1.5,3.7
1997,NBA,1,12,Austin Croshere,Providence,659,11480,4475,2649,627,.407,.340,.861,17.4,6.8,4.0,1.0,27.6,.115,-0.1,5.6
1996,NBA,1,10,Erick Dampier,Mississippi State,987,24003,7309,7005,817,.498,.125,.626,24.3,7.4,7.1,0.8,52.7,.105,-1.3,4.1
1996,NBA,2,52,Mark Pope,Kentucky,153,1634,285,261,63,.401,.179,.573,10.7,1.9,1.7,0.4,1.3,.038,-4.3,-0.9
1995,NBA,1,23,Travis Best,Georgia Tech,708,15150,5376,1249,2444,.431,.345,.835,21.4,7.6,1.8,3.5,30.9,.098,-0.4,6.0
1995,NBA,2,52,Fred Hoiberg,Iowa State,541,9978,2944,1438,846,.431,.396,.854,18.4,5.4,2.7,1.6,27.6,.133,1.2,8.0
1994,NBA,1,15,Eric Piatkowski (↳LAC),Nebraska,789,14613,5919,1716,778,.434,.399,.839,18.5,7.5,2.2,1.0,31.0,.102,0.2,7.9
1993,NBA,1,14,Scott Haskin,Oregon State,27,186,55,55,6,.467,,.684,6.9,2.0,2.0,0.2,0.3,.087,-2.8,0.0
1992,NBA,1,14,Malik Sealy,St. John's,493,11720,4955,1585,816,.426,.292,.809,23.8,10.1,3.2,1.7,17.1,.070,-1.2,2.2
1991,NBA,1,13,Dale Davis,Clemson,1094,29606,8706,8605,978,.530,.000,.562,27.1,8.0,7.9,0.9,86.9,.141,0.5,18.4
1991,NBA,2,41,Sean Green,Iona College,84,671,352,85,45,.386,.246,.620,8.0,4.2,1.0,0.5,-1.3,-0.095,-7.0,-0.8
1990,NBA,2,45,Antonio Davis,Texas-El Paso,903,26084,9041,6755,1017,.448,.087,.727,28.9,10.0,7.5,1.1,59.6,.110,-1.3,4.4
1990,NBA,2,46,Kenny Williams,Elizabeth City State University,260,2918,1247,693,161,.511,.000,.680,11.2,4.8,2.7,0.6,7.4,.122,0.1,1.5
1989,NBA,1,7,George McCloud,Florida State,766,17429,6925,2342,1769,.402,.358,.810,22.8,9.0,3.1,2.3,24.6,.068,-0.8,5.3
