Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1997,NBA,1,21,Anthony Parker (↳PHI),Bradley,494,13752,4478,1574,1129,.444,.404,.794,27.8,9.1,3.2,2.3,24.5,.085,-0.2,6.1
1996,NBA,1,8,Kerry Kittles,Villanova,507,16929,7165,1983,1295,.439,.378,.780,33.4,14.1,3.9,2.6,44.8,.127,2.2,18.0
1995,NBA,1,9,Ed O'Bannon,UCLA,128,2062,634,316,102,.367,.222,.755,16.1,5.0,2.5,0.8,1.1,.025,-3.5,-0.7
1994,NBA,1,14,Yinka Dare,George Washington,110,1002,233,281,4,.396,,.570,9.1,2.1,2.6,0.0,-0.7,-0.033,-8.4,-1.6
1993,NBA,1,16,Rex Walters,Kansas,335,4602,1547,403,569,.441,.361,.809,13.7,4.6,1.2,1.7,6.3,.066,-2.0,0.0
1992,NBA,2,29,P.J. Brown,Louisiana Tech,1089,33823,9870,8409,1661,.460,.136,.794,31.1,9.1,7.7,1.5,89.8,.128,0.0,17.4
1991,NBA,1,2,Kenny Anderson,Georgia Tech,858,25868,10789,2641,5196,.421,.346,.790,30.1,12.6,3.1,6.1,62.5,.116,1.4,21.9
1990,NBA,1,1,Derrick Coleman,Syracuse,781,25903,12884,7232,1985,.447,.295,.769,33.2,16.5,9.3,2.5,64.3,.119,1.4,22.3
1990,NBA,1,22,Tate George,UConn,177,2019,736,180,325,.414,.071,.820,11.4,4.2,1.0,1.8,1.3,.032,-3.5,-0.8
1989,NBA,1,12,Mookie Blaylock,Oklahoma,889,31026,11962,3659,5972,.409,.336,.736,34.9,13.5,4.1,6.7,71.8,.111,3.0,39.2
1989,NBA,2,32,Stanley Brundy,DePaul,16,128,37,26,3,.500,,.389,8.0,2.3,1.6,0.2,0.2,.057,-3.1,0.0
