Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,19,Brandin Podziemski,Santa Clara,74,1968,682,427,273,.454,.385,.633,26.6,9.2,5.8,3.7,4.1,.100,-0.1,0.9
2022,NBA,1,28,Patrick Baldwin,UW-Milwaukee,69,719,290,163,40,.386,.348,.676,10.4,4.2,2.4,0.6,0.3,.022,-3.8,-0.3
2022,NBA,2,51,Tyrese Martin (↳ATL),UConn,16,66,21,12,2,.391,.143,1.000,4.1,1.3,0.8,0.1,0.0,-0.010,-7.4,-0.1
2022,NBA,2,55,Gui Santos,,23,192,82,49,14,.509,.370,.941,8.3,3.6,2.1,0.6,0.7,.169,-0.5,0.1
2021,NBA,1,7,Jonathan Kuminga,,211,4528,2506,820,352,.524,.341,.707,21.5,11.9,3.9,1.7,10.1,.107,-1.1,1.0
2021,NBA,1,14,Moses Moody,Arkansas,181,2580,1063,381,131,.460,.362,.758,14.3,5.9,2.1,0.7,5.0,.093,-1.5,0.4
2020,NBA,1,2,James Wiseman,Memphis,147,2794,1344,829,110,.560,.267,.681,19.0,9.1,5.6,0.7,4.3,.073,-3.9,-1.4
2020,NBA,2,48,Nico Mannion,Arizona,30,364,123,46,70,.342,.367,.821,12.1,4.1,1.5,2.3,0.2,.029,-3.9,-0.2
2019,NBA,1,28,Jordan Poole,Michigan,344,9349,5551,907,1249,.419,.336,.878,27.2,16.1,2.6,3.6,9.3,.048,-2.2,-0.4
2019,NBA,2,41,Eric Paschall,Villanova,158,3086,1552,509,214,.494,.326,.758,19.5,9.8,3.2,1.4,5.0,.078,-2.2,-0.1
2019,NBA,2,58,Miye Oni (↳UTA),Yale,80,672,145,108,37,.350,.330,.750,8.4,1.8,1.4,0.5,1.0,.070,-2.5,-0.1
2018,NBA,1,28,Jacob Evans,Cincinnati,59,622,168,66,54,.337,.315,.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.4,-0.8
2016,NBA,1,30,Damian Jones,Vanderbilt,279,3782,1366,869,193,.656,.351,.715,13.6,4.9,3.1,0.7,11.3,.143,-1.0,1.0
2015,NBA,1,30,Kevon Looney,UCLA,523,9167,2633,2929,838,.583,.167,.615,17.5,5.0,5.6,1.6,33.1,.173,0.4,5.5
2012,NBA,1,7,Harrison Barnes,UNC,911,28799,12796,4432,1603,.457,.379,.810,31.6,14.0,4.9,1.8,56.0,.093,-0.9,7.9
2012,NBA,1,30,Festus Ezeli,Vanderbilt,170,2394,712,725,63,.513,,.557,14.1,4.2,4.3,0.4,5.9,.119,-2.0,0.0
