Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1997,NBA,2,47,Eric Washington (↳DEN),Alabama,104,2300,716,216,108,.402,.346,.757,22.1,6.9,2.1,1.0,0.1,.002,-3.5,-0.9
1996,NBA,1,27,Brian Evans,Indiana,102,1097,375,164,77,.381,.343,.820,10.8,3.7,1.6,0.8,1.7,.076,-0.8,0.3
1996,NBA,2,49,Amal McCaskill,Marquette,114,968,204,213,36,.377,.000,.609,8.5,1.8,1.9,0.3,0.5,.024,-4.7,-0.7
1995,NBA,1,25,David Vaughn,Memphis,118,1156,341,361,36,.423,.000,.638,9.8,2.9,3.1,0.3,0.6,.026,-6.4,-1.3
1994,NBA,1,27,Brooks Thompson,Oklahoma State,168,1714,760,158,281,.409,.376,.647,10.2,4.5,0.9,1.7,2.0,.057,-1.5,0.2
1993,NBA,1,1,Chris Webber (↳GSW),Michigan,831,30847,17182,8124,3526,.479,.299,.649,37.1,20.7,9.8,4.2,84.7,.132,3.4,42.1
1993,NBA,1,26,Geert Hammink,LSU,8,27,14,7,2,.400,,.667,3.4,1.8,0.9,0.3,0.1,.089,-3.7,0.0
1992,NBA,1,1,Shaquille O'Neal,LSU,1207,41918,28596,13099,3026,.582,.045,.527,34.7,23.7,10.9,2.5,181.7,.208,5.1,75.5
1991,NBA,1,10,Bison Dele,Arizona,413,10004,4536,2564,440,.528,.143,.691,24.2,11.0,6.2,1.1,22.8,.109,-0.6,3.4
1991,NBA,1,23,Stanley Roberts,LSU,300,5869,2555,1549,189,.499,.000,.514,19.6,8.5,5.2,0.6,8.1,.066,-3.4,-2.0
1991,NBA,2,36,Chris Corchiani,NC State,112,1313,416,129,243,.421,.269,.816,11.7,3.7,1.2,2.2,1.6,.058,-1.8,0.1
1990,NBA,1,4,Dennis Scott,Georgia Tech,629,17983,8094,1774,1296,.417,.397,.793,28.6,12.9,2.8,2.1,33.4,.089,0.2,9.9
1989,NBA,1,11,Nick Anderson,Illinois,800,24922,11529,4064,2087,.446,.356,.667,31.2,14.4,5.1,2.6,55.3,.106,1.9,24.7
1989,NBA,2,37,Michael Ansley,Alabama,149,2143,1026,621,67,.513,,.722,14.4,6.9,4.2,0.4,6.4,.142,-1.0,0.6
