Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1998,NBA,2,38,DeMarco Johnson,UNC Charlotte,5,37,6,7,0,.333,,,7.4,1.2,1.4,0.0,-0.1,-0.091,-10.3,-0.1
1998,NBA,2,44,Sean Marks (↳TOR),California,230,2275,638,501,50,.448,.200,.665,9.9,2.8,2.2,0.2,2.6,.055,-5.0,-1.7
1997,NBA,1,25,John Thomas (↳BOS),Minnesota,208,2253,560,432,60,.502,.000,.591,10.8,2.7,2.1,0.3,3.2,.067,-4.4,-1.4
1996,NBA,1,18,John Wallace,Syracuse,381,6143,2901,1061,281,.462,.300,.740,16.1,7.6,2.8,0.7,6.4,.050,-2.7,-1.0
1996,NBA,1,19,Walter McCarty,Kentucky,593,10374,3056,1554,670,.392,.346,.698,17.5,5.2,2.6,1.1,13.7,.064,-1.7,0.8
1996,NBA,1,21,Dontae' Jones,Mississippi State,15,91,44,9,5,.333,.261,,6.1,2.9,0.6,0.3,-0.3,-0.175,-10.9,-0.2
1994,NBA,1,24,Monty Williams,Notre Dame,456,7624,2884,1296,544,.481,.111,.665,16.7,6.3,2.8,1.2,11.4,.072,-1.8,0.3
1994,NBA,1,26,Charlie Ward,Florida State,630,14080,3947,1648,2539,.408,.364,.771,22.3,6.3,2.6,4.0,33.0,.113,2.1,14.5
1992,NBA,1,20,Hubert Davis,UNC,685,15143,5583,1045,1172,.458,.441,.837,22.1,8.2,1.5,1.7,27.7,.088,-0.9,4.2
1991,NBA,1,12,Greg Anthony,UNLV,757,15850,5497,1417,2997,.403,.349,.733,20.9,7.3,1.9,4.0,35.9,.109,1.3,13.3
1990,NBA,1,17,Jerrod Mustaf,Maryland,179,1902,721,452,99,.449,.000,.648,10.6,4.0,2.5,0.6,1.7,.043,-4.1,-1.0
1989,NBA,2,50,Brian Quinnett,Washington State,138,1530,474,224,76,.414,.326,.677,11.1,3.4,1.6,0.6,0.9,.027,-3.7,-0.6
