Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1996,NBA,1,7,Lorenzen Wright,Memphis,778,18535,6191,4943,622,.459,.069,.645,23.8,8.0,6.4,0.8,30.5,.079,-2.6,-3.0
1995,NBA,1,2,Antonio McDyess (↳DEN),Alabama,1015,28053,12227,7638,1300,.497,.117,.670,27.6,12.0,7.5,1.3,69.8,.119,-0.1,13.2
1994,NBA,1,7,Lamond Murray,California,736,18477,8286,3033,978,.430,.360,.759,25.1,11.3,4.1,1.3,19.8,.052,-1.2,4.0
1994,NBA,1,25,Greg Minor (↳IND),Louisville,277,5144,1902,741,384,.478,.226,.767,18.6,6.9,2.7,1.4,8.2,.077,-1.5,0.7
1993,NBA,1,13,Terry Dehere,Seton Hall,402,7305,3235,588,1034,.411,.378,.779,18.2,8.0,1.5,2.6,7.3,.048,-2.6,-1.1
1992,NBA,1,16,Randy Woods,La Salle,151,1093,356,93,257,.340,.305,.683,7.2,2.4,0.6,1.7,0.6,.026,-1.5,0.1
1992,NBA,1,25,Elmore Spencer,UNLV,157,2641,923,555,109,.516,.000,.580,16.8,5.9,3.5,0.7,0.0,.001,-4.6,-1.7
1991,NBA,1,22,LeRon Ellis,Syracuse,91,857,277,220,29,.433,,.613,9.4,3.0,2.4,0.3,1.2,.069,-3.5,-0.3
1991,NBA,2,37,Elliot Perry,Memphis,549,9501,3449,742,1699,.459,.359,.783,17.3,6.3,1.4,3.1,14.0,.071,-0.5,3.6
1990,NBA,1,8,Bo Kimble,Loyola Marymount,105,1336,574,162,98,.386,.291,.728,12.7,5.5,1.5,0.9,0.1,.004,-5.7,-1.2
1990,NBA,1,13,Loy Vaught,Michigan,689,16993,6984,4881,652,.504,.244,.718,24.7,10.1,7.1,0.9,35.8,.101,-1.5,2.2
1989,NBA,1,2,Danny Ferry,Duke,917,18133,6439,2550,1185,.446,.393,.840,19.8,7.0,2.8,1.3,34.8,.092,-0.9,4.9
1989,NBA,2,31,Jeff Martin,Murray State,143,2685,956,290,109,.417,.282,.694,18.8,6.7,2.0,0.8,2.1,.038,-3.2,-0.8
1989,NBA,2,33,Jay Edwards,Indiana,4,26,7,2,4,.429,.000,.333,6.5,1.8,0.5,1.0,0.0,.022,-4.0,0.0
