Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1995,NBA,2,32,Terrence Rencher (↳MIA),Texas,36,405,106,44,54,.330,.310,.674,11.3,2.9,1.2,1.5,-0.2,-0.021,-4.0,-0.2
1994,NBA,1,5,Juwan Howard,Michigan,1208,36654,16159,7428,2663,.469,.120,.764,30.3,13.4,6.1,2.2,59.4,.078,-1.6,3.8
1994,NBA,2,32,Jim McIlvaine,Marquette,401,5927,1072,1243,105,.446,.100,.551,14.8,2.7,3.1,0.3,9.4,.076,-2.2,-0.3
1993,NBA,1,6,Calbert Cheaney,Indiana,825,22007,7826,2610,1398,.466,.298,.691,26.7,9.5,3.2,1.7,23.1,.050,-2.5,-2.9
1993,NBA,2,30,Gheorghe Mureșan,,307,6729,3020,1957,150,.573,.000,.644,21.9,9.8,6.4,0.5,19.0,.136,-0.3,2.9
1992,NBA,1,6,Tom Gugliotta,NC State,763,23556,9895,5589,2140,.451,.284,.757,30.9,13.0,7.3,2.8,40.2,.082,0.6,15.3
1992,NBA,2,32,Brent Price,Oklahoma,418,7007,2481,684,1236,.426,.387,.824,16.8,5.9,1.6,3.0,12.0,.082,-0.8,2.2
1991,NBA,1,19,LaBradford Smith,Louisville,183,3131,1218,271,394,.432,.298,.813,17.1,6.7,1.5,2.2,1.5,.024,-3.6,-1.2
1990,NBA,2,35,Greg Foster,Texas-El Paso,656,7974,2538,1691,351,.440,.225,.748,12.2,3.9,2.6,0.5,5.6,.033,-5.5,-7.0
1990,NBA,2,37,A.J. English,Virginia Union University,151,3108,1502,315,320,.435,.138,.778,20.6,9.9,2.1,2.1,1.1,.017,-3.9,-1.5
1989,NBA,1,9,Tom Hammonds,Georgia Tech,687,10419,3617,2243,378,.480,.000,.691,15.2,5.3,3.3,0.6,14.7,.068,-3.8,-4.7
1989,NBA,2,39,Ed Horton,Iowa,45,374,202,108,19,.494,.000,.609,8.3,4.5,2.4,0.4,0.4,.050,-4.9,-0.3
1989,NBA,2,41,Doug Roth,Tennessee,42,412,81,120,20,.430,.000,.500,9.8,1.9,2.9,0.5,0.4,.052,-5.3,-0.3
