Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1996,NBA,1,15,Steve Nash,Santa Clara,1217,38069,17387,3642,10335,.490,.428,.904,31.3,14.3,3.0,8.5,129.7,.164,3.0,48.2
1996,NBA,2,43,Ben Davis,Arizona,40,154,54,53,5,.356,,.462,3.9,1.4,1.3,0.1,0.1,.040,-5.5,-0.1
1995,NBA,1,21,Michael Finley,Wisconsin,1103,37996,17306,4804,3245,.444,.375,.811,34.4,15.7,4.4,2.9,85.2,.108,1.0,28.8
1995,NBA,1,27,Mario Bennett,Arizona State,68,606,269,182,24,.534,.333,.511,8.9,4.0,2.7,0.4,1.9,.153,-0.8,0.2
1995,NBA,2,56,Chris Carr,Southern Illinois,297,4505,1988,658,294,.416,.338,.807,15.2,6.7,2.2,1.0,3.9,.042,-3.0,-1.1
1994,NBA,1,23,Wesley Person,Auburn,733,20727,8192,2402,1234,.457,.418,.778,28.3,11.2,3.3,1.7,44.0,.102,0.9,15.2
1994,NBA,2,29,Antonio Lang,Duke,143,1395,329,210,50,.455,.000,.719,9.8,2.3,1.5,0.3,1.7,.057,-3.8,-0.6
1994,NBA,2,50,Charles Claxton,Georgia,3,7,2,2,0,.500,,.000,2.3,0.7,0.7,0.0,0.0,-0.179,-18.9,0.0
1994,NBA,2,52,Anthony Goldwire,Houston,266,4951,1667,359,737,.407,.386,.792,18.6,6.3,1.3,2.8,6.4,.062,-1.8,0.3
1993,NBA,1,27,Malcolm Mackey,Georgia Tech,22,69,32,24,1,.378,.000,.500,3.1,1.5,1.1,0.0,0.1,.036,-8.7,-0.1
1992,NBA,1,22,Oliver Miller,Arkansas,493,11338,3625,2893,1061,.534,.116,.639,23.0,7.4,5.9,2.2,21.1,.089,0.6,7.4
1992,NBA,2,48,Brian Davis,Duke,68,374,131,55,22,.317,.333,.735,5.5,1.9,0.8,0.3,0.0,.000,-4.7,-0.3
1991,NBA,2,32,Chad Gallagher,Creighton,2,3,6,0,0,1.000,,,1.5,3.0,0.0,0.0,0.1,1.442,30.1,0.0
1991,NBA,2,46,Richard Dumas,Oklahoma State,102,2226,1080,351,111,.509,.231,.694,21.8,10.6,3.4,1.1,4.5,.097,-0.2,1.0
1990,NBA,1,21,Jayson Williams (↳PHI),St. John's,475,9805,3472,3584,287,.440,.125,.606,20.6,7.3,7.5,0.6,20.0,.098,-2.8,-2.1
1990,NBA,2,31,Negele Knight,Dayton,276,4513,1699,351,780,.436,.263,.730,16.4,6.2,1.3,2.8,4.2,.044,-3.0,-1.1
1990,NBA,2,48,Cedric Ceballos,Cal State Fullerton,609,14712,8693,3258,723,.500,.309,.753,24.2,14.3,5.3,1.2,40.4,.132,0.7,10.1
1990,NBA,2,50,Miloš Babić (↳CLE),Tennessee Technological University,21,87,37,20,10,.375,,.650,4.1,1.8,1.0,0.5,-0.1,-0.028,-5.9,-0.1
1989,NBA,1,24,Anthony Cook (↳DET),Arizona,116,1499,418,428,34,.439,.000,.524,12.9,3.6,3.7,0.3,1.0,.033,-3.7,-0.7
1989,NBA,2,46,Ricky Blanton,LSU,2,13,6,3,1,.429,,,6.5,3.0,1.5,0.5,0.0,.088,-0.3,0.0
1989,NBA,2,51,Mike Morrison,Loyola (MD),36,153,72,20,11,.338,.286,.800,4.3,2.0,0.6,0.3,-0.3,-0.106,-10.5,-0.3
1989,NBA,2,52,Greg Grant,Trenton State University,274,3350,767,248,751,.383,.281,.710,12.2,2.8,0.9,2.7,1.6,.023,-2.9,-0.8
