Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2012,NBA,2,33,Bernard James (↳DAL),Florida State,92,761,203,212,13,.497,.000,.680,8.3,2.2,2.3,0.1,1.9,.117,-1.8,0.0
2012,NBA,2,34,Jae Crowder (↳DAL),Marquette,803,20058,7492,3371,1275,.419,.348,.777,25.0,9.3,4.2,1.6,42.9,.103,0.2,11.0
2011,NBA,1,1,Kyrie Irving,Duke,729,25075,17199,2933,4133,.474,.393,.886,34.4,23.6,4.0,5.7,86.2,.165,4.5,41.2
2011,NBA,1,4,Tristan Thompson,Texas,779,20104,6753,6294,776,.521,.256,.597,25.8,8.7,8.1,1.0,48.9,.117,-1.7,1.5
2011,NBA,2,32,Justin Harper (↳ORL),Richmond,22,150,45,18,4,.340,.276,.333,6.8,2.0,0.8,0.2,-0.3,-0.093,-8.7,-0.2
2009,NBA,1,30,Christian Eyenga,,51,1049,320,137,40,.411,.277,.611,20.6,6.3,2.7,0.8,-0.4,-0.020,-4.2,-0.6
2009,NBA,2,46,Danny Green,UNC,832,20899,7204,2827,1277,.421,.400,.805,25.1,8.7,3.4,1.5,49.3,.113,1.8,20.2
2008,NBA,1,19,J.J. Hickson,NC State,534,11925,5081,3639,449,.505,.000,.617,22.3,9.5,6.8,0.8,21.9,.088,-1.8,0.5
2006,NBA,1,25,Shannon Brown,Michigan State,408,7329,3118,760,458,.420,.332,.807,18.0,7.6,1.9,1.1,9.2,.060,-1.5,1.0
2006,NBA,2,42,Daniel Gibson,Texas,397,9316,3115,792,775,.402,.407,.780,23.5,7.8,2.0,2.0,16.0,.082,-1.0,2.4
2004,NBA,1,10,Luke Jackson,Oregon,73,724,252,89,58,.357,.360,.732,9.9,3.5,1.2,0.8,0.2,.010,-3.7,-0.3
2003,NBA,1,1,LeBron James,,1492,56597,40474,11185,11009,.506,.348,.736,37.9,27.1,7.5,7.4,263.7,.224,8.7,151.9
2003,NBA,2,31,Jason Kapono,UCLA,509,9068,3398,844,417,.442,.434,.835,17.8,6.7,1.7,0.8,10.3,.055,-2.6,-1.3
2002,NBA,1,6,Dajuan Wagner,Memphis,103,2202,964,142,195,.366,.321,.770,21.4,9.4,1.4,1.9,0.0,.000,-4.9,-1.6
2002,NBA,2,35,Carlos Boozer,Duke,861,26901,13976,8192,1928,.521,.071,.722,31.2,16.2,9.5,2.2,80.3,.143,1.4,23.1
2001,NBA,1,8,DeSagana Diop,,601,8403,1185,2219,270,.427,.167,.467,14.0,2.0,3.7,0.4,12.8,.073,-1.9,0.2
2001,NBA,1,20,Brendan Haywood (↳ORL ↳WAS),UNC,816,18680,5538,4875,442,.528,.000,.587,22.9,6.8,6.0,0.5,43.8,.113,-1.4,2.9
2001,NBA,2,36,Jeff Trepagnier,USC,31,270,88,43,22,.337,.462,.700,8.7,2.8,1.4,0.7,-0.2,-0.038,-2.8,-0.1
2000,NBA,1,8,Jamal Crawford (↳CHI),Michigan,1327,38994,19419,2948,4541,.410,.348,.862,29.4,14.6,2.2,3.4,60.7,.075,-0.1,18.4
1999,NBA,1,8,Andre Miller,Utah,1304,40268,16278,4795,8524,.461,.217,.807,30.9,12.5,3.7,6.5,100.8,.120,1.3,33.4
1999,NBA,1,11,Trajan Langdon,Duke,119,1738,647,159,152,.416,.396,.910,14.6,5.4,1.3,1.3,2.9,.079,-1.1,0.4
1999,NBA,2,39,A.J. Bramlett,Arizona,8,61,8,22,0,.190,,,7.6,1.0,2.8,0.0,-0.2,-0.129,-15.9,-0.2
