Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Team,Successful Pick
1999,NBA,1,23,Devean George,Augsburg College,630.0,11682.0,3536.0,1975.0,543.0,0.392,0.343,0.721,18.5,5.6,3.1,0.9,18.2,0.075,-1.5,1.4,Lakers,False
1999,NBA,2,30,John Celestand,Villanova,16.0,185.0,37.0,11.0,20.0,0.333,0.222,0.833,11.6,2.3,0.7,1.3,-0.1,-0.038,-7.6,-0.3,Lakers,False
1998,NBA,1,26,Sam Jacobson,Minnesota,68.0,752.0,283.0,80.0,36.0,0.511,0.36,0.739,11.1,4.2,1.2,0.5,1.1,0.071,-3.9,-0.4,Lakers,False
1998,NBA,2,31,Ruben Patterson,Cincinnati,649.0,15955.0,6953.0,2697.0,1150.0,0.517,0.179,0.641,24.6,10.7,4.2,1.8,35.1,0.106,0.7,10.8,Lakers,True
1998,NBA,2,45,Toby Bailey,UCLA,73.0,698.0,241.0,126.0,43.0,0.407,0.2,0.692,9.6,3.3,1.7,0.6,1.0,0.072,-3.5,-0.3,Lakers,False
1997,NBA,2,52,DeJuan Wheat,Louisville,80.0,740.0,265.0,56.0,127.0,0.383,0.39,0.7,9.3,3.3,0.7,1.6,0.5,0.034,-1.9,0.0,Lakers,False
1996,NBA,1,24,Derek Fisher,Little Rock,1287.0,32719.0,10713.0,2658.0,3804.0,0.399,0.374,0.817,25.4,8.3,2.1,3.0,62.3,0.091,-0.9,8.9,Lakers,True
1995,NBA,2,37,Frankie King,Western Carolina University,13.0,79.0,27.0,16.0,7.0,0.357,0.333,0.75,6.1,2.1,1.2,0.5,0.0,0.025,-4.7,-0.1,Lakers,False
1994,NBA,1,10,Eddie Jones,Temple,954.0,32778.0,14155.0,3857.0,2812.0,0.437,0.373,0.809,34.4,14.8,4.0,2.9,100.6,0.147,3.1,42.3,Lakers,True
1993,NBA,1,12,George Lynch,UNC,774.0,17683.0,5109.0,3902.0,1121.0,0.446,0.306,0.652,22.8,6.6,5.0,1.4,32.3,0.088,-0.4,7.3,Lakers,False
1993,NBA,2,37,Nick Van Exel,Cincinnati,880.0,28969.0,12658.0,2545.0,5777.0,0.405,0.357,0.794,32.9,14.4,2.9,6.6,55.9,0.093,0.4,17.7,Lakers,True
1992,NBA,1,15,Anthony Peeler,Missouri,827.0,20464.0,8017.0,2136.0,1956.0,0.427,0.384,0.799,24.7,9.7,2.6,2.4,30.7,0.072,-0.7,6.6,Lakers,False
1992,NBA,2,36,Duane Cooper,USC,88.0,781.0,204.0,59.0,178.0,0.402,0.216,0.72,8.9,2.3,0.7,2.0,-0.5,-0.032,-6.1,-0.8,Lakers,False
1990,NBA,1,27,Elden Campbell,Clemson,1044.0,25776.0,10805.0,6116.0,1199.0,0.46,0.054,0.699,24.7,10.3,5.9,1.1,62.8,0.117,-0.5,9.5,Lakers,True
1990,NBA,2,51,Tony Smith,Marquette,457.0,7295.0,2504.0,735.0,881.0,0.431,0.307,0.69,16.0,5.5,1.6,1.9,6.7,0.044,-2.0,0.0,Lakers,False
1989,NBA,1,26,Vlade Divac,,1134.0,33838.0,13398.0,9326.0,3541.0,0.495,0.235,0.692,29.8,11.8,8.2,3.1,96.4,0.137,2.3,36.3,Lakers,True
2023,NBA,2,49,Emoni Bates,Eastern Michigan,15.0,133.0,41.0,14.0,10.0,0.306,0.303,0.25,8.9,2.7,0.9,0.7,-0.3,-0.092,-9.2,-0.2,Cavaliers,False
2022,NBA,1,14,Ochai Agbaji (↳UTA),Kansas,137.0,2850.0,922.0,337.0,150.0,0.419,0.326,0.744,20.8,6.7,2.5,1.1,1.4,0.024,-3.8,-1.3,Cavaliers,False
2022,NBA,2,49,Isaiah Mobley,USC,22.0,156.0,54.0,30.0,9.0,0.423,0.333,0.8,7.1,2.5,1.4,0.4,0.3,0.087,-3.8,-0.1,Cavaliers,True
2021,NBA,1,3,Evan Mobley,USC,198.0,6578.0,3096.0,1749.0,558.0,0.544,0.265,0.681,33.2,15.6,8.8,2.8,19.3,0.141,1.6,5.9,Cavaliers,False
2020,NBA,1,5,Isaac Okoro,Auburn,279.0,7693.0,2371.0,800.0,468.0,0.467,0.347,0.732,27.6,8.5,2.9,1.7,13.5,0.084,-2.2,-0.4,Cavaliers,False
2019,NBA,1,5,Darius Garland,Vanderbilt,307.0,10392.0,5660.0,801.0,2052.0,0.448,0.384,0.864,33.9,18.4,2.6,6.7,16.5,0.076,-0.3,4.3,Cavaliers,False
2019,NBA,1,26,Dylan Windler,Belmont,101.0,1090.0,319.0,212.0,78.0,0.425,0.347,0.8,10.8,3.2,2.1,0.8,1.6,0.072,-1.4,0.2,Cavaliers,False
2018,NBA,1,8,Collin Sexton,Alabama,344.0,10399.0,6499.0,973.0,1241.0,0.469,0.383,0.834,30.2,18.9,2.8,3.6,13.4,0.062,-1.5,1.3,Cavaliers,False
2015,NBA,1,24,Tyus Jones (↳MIN),Duke,601.0,12250.0,4420.0,1178.0,2593.0,0.445,0.367,0.813,20.4,7.4,2.0,4.3,29.5,0.116,0.6,8.1,Cavaliers,False
2014,NBA,1,1,Andrew Wiggins (↳MIN),Kansas,706.0,24046.0,13091.0,3156.0,1597.0,0.449,0.354,0.722,34.1,18.5,4.5,2.3,29.1,0.058,-1.5,2.8,Cavaliers,False
2014,NBA,2,33,Joe Harris,Virginia,504.0,12298.0,5185.0,1521.0,790.0,0.479,0.436,0.771,24.4,10.3,3.0,1.6,23.1,0.09,-0.7,4.1,Cavaliers,False
2013,NBA,1,1,Anthony Bennett,UNLV,151.0,1905.0,658.0,472.0,77.0,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-4.8,-1.3,Cavaliers,False
2013,NBA,1,19,Sergey Karasev,,95.0,1110.0,287.0,140.0,87.0,0.395,0.282,0.842,11.7,3.0,1.5,0.9,0.8,0.036,-3.4,-0.4,Cavaliers,False
2013,NBA,2,31,Allen Crabbe (↳POR),California,381.0,9125.0,3453.0,1073.0,434.0,0.425,0.387,0.831,24.0,9.1,2.8,1.1,13.7,0.072,-1.6,0.9,Cavaliers,False
2013,NBA,2,33,Carrick Felix,Arizona State,7.0,38.0,19.0,6.0,4.0,0.5,0.4,0.75,5.4,2.7,0.9,0.6,0.0,0.057,-3.4,0.0,Cavaliers,False
2012,NBA,1,4,Dion Waiters,Syracuse,419.0,11835.0,5505.0,1108.0,1163.0,0.412,0.346,0.694,28.2,13.1,2.6,2.8,8.8,0.036,-2.1,-0.4,Cavaliers,False
2012,NBA,1,24,Jared Cunningham (↳DAL),Oregon State,84.0,605.0,197.0,56.0,39.0,0.347,0.306,0.674,7.2,2.3,0.7,0.5,0.2,0.017,-5.7,-0.6,Cavaliers,False
2012,NBA,2,33,Bernard James (↳DAL),Florida State,92.0,761.0,203.0,212.0,13.0,0.497,0.0,0.68,8.3,2.2,2.3,0.1,1.9,0.117,-1.8,0.0,Cavaliers,False
2012,NBA,2,34,Jae Crowder (↳DAL),Marquette,803.0,20058.0,7492.0,3371.0,1275.0,0.419,0.348,0.777,25.0,9.3,4.2,1.6,42.9,0.103,0.2,11.0,Cavaliers,True
2011,NBA,1,1,Kyrie Irving,Duke,729.0,25075.0,17199.0,2933.0,4133.0,0.474,0.393,0.886,34.4,23.6,4.0,5.7,86.2,0.165,4.5,41.2,Cavaliers,True
2011,NBA,1,4,Tristan Thompson,Texas,779.0,20104.0,6753.0,6294.0,776.0,0.521,0.256,0.597,25.8,8.7,8.1,1.0,48.9,0.117,-1.7,1.5,Cavaliers,False
2011,NBA,2,32,Justin Harper (↳ORL),Richmond,22.0,150.0,45.0,18.0,4.0,0.34,0.276,0.333,6.8,2.0,0.8,0.2,-0.3,-0.093,-8.7,-0.2,Cavaliers,False
2009,NBA,1,30,Christian Eyenga,,51.0,1049.0,320.0,137.0,40.0,0.411,0.277,0.611,20.6,6.3,2.7,0.8,-0.4,-0.02,-4.2,-0.6,Cavaliers,False
2009,NBA,2,46,Danny Green,UNC,832.0,20899.0,7204.0,2827.0,1277.0,0.421,0.4,0.805,25.1,8.7,3.4,1.5,49.3,0.113,1.8,20.2,Cavaliers,True
2008,NBA,1,19,J.J. Hickson,NC State,534.0,11925.0,5081.0,3639.0,449.0,0.505,0.0,0.617,22.3,9.5,6.8,0.8,21.9,0.088,-1.8,0.5,Cavaliers,True
2006,NBA,1,25,Shannon Brown,Michigan State,408.0,7329.0,3118.0,760.0,458.0,0.42,0.332,0.807,18.0,7.6,1.9,1.1,9.2,0.06,-1.5,1.0,Cavaliers,False
2006,NBA,2,42,Daniel Gibson,Texas,397.0,9316.0,3115.0,792.0,775.0,0.402,0.407,0.78,23.5,7.8,2.0,2.0,16.0,0.082,-1.0,2.4,Cavaliers,False
2004,NBA,1,10,Luke Jackson,Oregon,73.0,724.0,252.0,89.0,58.0,0.357,0.36,0.732,9.9,3.5,1.2,0.8,0.2,0.01,-3.7,-0.3,Cavaliers,False
2003,NBA,1,1,LeBron James,,1492.0,56597.0,40474.0,11185.0,11009.0,0.506,0.348,0.736,37.9,27.1,7.5,7.4,263.7,0.224,8.7,151.9,Cavaliers,True
2003,NBA,2,31,Jason Kapono,UCLA,509.0,9068.0,3398.0,844.0,417.0,0.442,0.434,0.835,17.8,6.7,1.7,0.8,10.3,0.055,-2.6,-1.3,Cavaliers,False
2002,NBA,1,6,Dajuan Wagner,Memphis,103.0,2202.0,964.0,142.0,195.0,0.366,0.321,0.77,21.4,9.4,1.4,1.9,0.0,0.0,-4.9,-1.6,Cavaliers,False
2002,NBA,2,35,Carlos Boozer,Duke,861.0,26901.0,13976.0,8192.0,1928.0,0.521,0.071,0.722,31.2,16.2,9.5,2.2,80.3,0.143,1.4,23.1,Cavaliers,True
2001,NBA,1,8,DeSagana Diop,,601.0,8403.0,1185.0,2219.0,270.0,0.427,0.167,0.467,14.0,2.0,3.7,0.4,12.8,0.073,-1.9,0.2,Cavaliers,False
2001,NBA,1,20,Brendan Haywood (↳ORL ↳WAS),UNC,816.0,18680.0,5538.0,4875.0,442.0,0.528,0.0,0.587,22.9,6.8,6.0,0.5,43.8,0.113,-1.4,2.9,Cavaliers,False
2001,NBA,2,36,Jeff Trepagnier,USC,31.0,270.0,88.0,43.0,22.0,0.337,0.462,0.7,8.7,2.8,1.4,0.7,-0.2,-0.038,-2.8,-0.1,Cavaliers,False
2000,NBA,1,8,Jamal Crawford (↳CHI),Michigan,1327.0,38994.0,19419.0,2948.0,4541.0,0.41,0.348,0.862,29.4,14.6,2.2,3.4,60.7,0.075,-0.1,18.4,Cavaliers,True
1999,NBA,1,8,Andre Miller,Utah,1304.0,40268.0,16278.0,4795.0,8524.0,0.461,0.217,0.807,30.9,12.5,3.7,6.5,100.8,0.12,1.3,33.4,Cavaliers,True
1999,NBA,1,11,Trajan Langdon,Duke,119.0,1738.0,647.0,159.0,152.0,0.416,0.396,0.91,14.6,5.4,1.3,1.3,2.9,0.079,-1.1,0.4,Cavaliers,False
1998,NBA,2,48,Ryan Stack,South Carolina,43.0,397.0,99.0,79.0,10.0,0.352,0.0,0.787,9.2,2.3,1.8,0.2,0.2,0.028,-6.7,-0.5,Cavaliers,False
1997,NBA,1,13,Derek Anderson,Kentucky,615.0,17975.0,7357.0,1988.0,2083.0,0.408,0.341,0.853,29.2,12.0,3.2,3.4,43.9,0.117,1.0,13.5,Cavaliers,True
1997,NBA,1,16,Brevin Knight,Stanford,729.0,18176.0,5342.0,1785.0,4481.0,0.412,0.134,0.789,24.9,7.3,2.4,6.1,32.6,0.086,0.3,10.5,Cavaliers,False
1997,NBA,2,45,Cedric Henderson,Memphis,260.0,6182.0,1885.0,755.0,419.0,0.436,0.14,0.715,23.8,7.3,2.9,1.6,3.3,0.026,-2.8,-1.3,Cavaliers,False
1996,NBA,1,12,Vitaly Potapenko,Wright State University,610.0,11608.0,3995.0,2725.0,418.0,0.479,0.167,0.694,19.0,6.5,4.5,0.7,15.5,0.064,-4.0,-5.9,Cavaliers,False
1996,NBA,1,20,Zydrunas Ilgauskas,,843.0,22965.0,10976.0,6191.0,955.0,0.476,0.31,0.78,27.2,13.0,7.3,1.1,66.3,0.139,-0.2,10.2,Cavaliers,True
1996,NBA,2,56,Reggie Geary,Arizona,101.0,931.0,209.0,82.0,110.0,0.344,0.328,0.493,9.2,2.1,0.8,1.1,0.6,0.032,-2.5,-0.1,Cavaliers,False
1995,NBA,1,17,Bob Sura,Florida State,657.0,15597.0,5654.0,2240.0,2474.0,0.414,0.325,0.689,23.7,8.6,3.4,3.8,28.3,0.087,0.4,9.4,Cavaliers,True
1995,NBA,2,39,Donny Marshall,UConn,119.0,919.0,293.0,121.0,36.0,0.321,0.336,0.681,7.7,2.5,1.0,0.3,0.9,0.045,-3.8,-0.4,Cavaliers,False
1993,NBA,1,22,Chris Mills,Arizona,568.0,17282.0,6357.0,2808.0,1063.0,0.432,0.351,0.817,30.4,11.2,4.9,1.9,37.7,0.105,-0.5,6.8,Cavaliers,False
1991,NBA,1,11,Terrell Brandon,Oregon,724.0,21545.0,9994.0,2174.0,4407.0,0.448,0.355,0.873,29.8,13.8,3.0,6.1,65.9,0.147,3.6,30.3,Cavaliers,True
1991,NBA,2,39,Jimmy Oliver,Purdue,78.0,856.0,331.0,80.0,55.0,0.407,0.34,0.772,11.0,4.2,1.0,0.7,0.3,0.018,-4.7,-0.6,Cavaliers,False
1989,NBA,1,25,John Morton,Seton Hall,128.0,1879.0,609.0,161.0,342.0,0.386,0.224,0.787,14.7,4.8,1.3,2.7,0.5,0.013,-3.0,-0.5,Cavaliers,False
1989,NBA,2,43,Chucky Brown,NC State,694.0,11962.0,4125.0,2148.0,549.0,0.491,0.227,0.699,17.2,5.9,3.1,0.8,19.0,0.076,-2.7,-2.0,Cavaliers,False
