Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Team,Successful Pick
2008,NBA,1,24,Serge Ibaka,,919.0,25127.0,11028.0,6513.0,749.0,0.513,0.359,0.757,27.3,12.0,7.1,0.8,73.0,0.139,0.5,15.7,OKC Thunder,True
2008,NBA,2,32,Walter Sharpe (↳DET),UAB,8.0,20.0,8.0,3.0,0.0,0.364,0.0,0.0,2.5,1.0,0.4,0.0,-0.1,-0.131,-10.1,0.0,OKC Thunder,False
2007,NBA,1,2,Kevin Durant,Texas,1061.0,38972.0,28924.0,7454.0,4645.0,0.501,0.387,0.884,36.7,27.3,7.0,4.4,170.2,0.21,6.6,84.6,OKC Thunder,True
2023,NBA,1,24,Olivier-Maxence Prosper (↳DAL),Marquette,40.0,336.0,121.0,79.0,22.0,0.385,0.289,0.683,8.4,3.0,2.0,0.6,0.5,0.076,-2.9,-0.1,Kings,False
2023,NBA,2,38,Jordan Walsh (↳BOS),Arkansas,9.0,83.0,15.0,20.0,5.0,0.4,0.222,0.5,9.2,1.7,2.2,0.6,0.2,0.089,-3.8,0.0,Kings,False
2022,NBA,1,4,Keegan Murray,Iowa,157.0,4970.0,2148.0,791.0,227.0,0.454,0.384,0.805,31.7,13.7,5.0,1.4,9.5,0.092,-0.7,1.6,Kings,False
2022,NBA,2,37,Jaden Hardy (↳DAL),,121.0,1697.0,950.0,220.0,174.0,0.42,0.379,0.8,14.0,7.9,1.8,1.4,1.0,0.028,-3.3,-0.6,Kings,False
2021,NBA,1,9,Davion Mitchell,Baylor,227.0,4624.0,1690.0,366.0,632.0,0.434,0.327,0.703,20.4,7.4,1.6,2.8,3.0,0.031,-3.4,-1.6,Kings,False
2020,NBA,1,12,Tyrese Haliburton,Iowa State,260.0,8547.0,4483.0,960.0,2274.0,0.478,0.393,0.856,32.9,17.2,3.7,8.7,27.2,0.153,4.5,14.0,Kings,True
2020,NBA,2,35,Xavier Tillman (↳MEM),Michigan State,227.0,3940.0,1355.0,935.0,310.0,0.522,0.267,0.574,17.4,6.0,4.1,1.4,10.3,0.125,0.3,2.3,Kings,False
2020,NBA,2,43,Jahmi'us Ramsey,Texas Tech,39.0,349.0,147.0,45.0,21.0,0.416,0.271,0.68,8.9,3.8,1.2,0.5,-0.1,-0.008,-5.4,-0.3,Kings,False
2020,NBA,2,52,Kenyon Martin (↳HOU),,266.0,5762.0,2378.0,1122.0,323.0,0.544,0.337,0.662,21.7,8.9,4.2,1.2,11.1,0.093,-1.5,0.7,Kings,True
2019,NBA,2,40,Justin James,Wyoming,72.0,542.0,228.0,62.0,40.0,0.446,0.343,0.544,7.5,3.2,0.9,0.6,0.3,0.024,-3.1,-0.2,Kings,False
2019,NBA,2,47,Ignas Brazdeikis (↳NYK),Michigan,64.0,838.0,318.0,122.0,58.0,0.416,0.315,0.686,13.1,5.0,1.9,0.9,0.4,0.024,-4.9,-0.6,Kings,False
2018,NBA,1,2,Marvin Bagley,Duke,258.0,6209.0,3343.0,1805.0,242.0,0.518,0.296,0.692,24.1,13.0,7.0,0.9,12.0,0.093,-1.6,0.6,Kings,False
2018,NBA,2,37,Gary Trent (↳POR),Duke,341.0,9805.0,4874.0,815.0,512.0,0.422,0.386,0.819,28.8,14.3,2.4,1.5,15.8,0.077,-1.0,2.4,Kings,False
2017,NBA,1,5,De'Aaron Fox,Kentucky,469.0,15420.0,9940.0,1784.0,2870.0,0.471,0.334,0.736,32.9,21.2,3.8,6.1,29.6,0.092,0.9,11.4,Kings,True
2017,NBA,1,10,Zach Collins (↳POR),Gonzaga,314.0,6160.0,2606.0,1539.0,574.0,0.479,0.336,0.75,19.6,8.3,4.9,1.8,9.2,0.071,-1.7,0.4,Kings,False
2017,NBA,2,34,Frank Mason,Kansas,103.0,1616.0,695.0,204.0,272.0,0.396,0.301,0.755,15.7,6.7,2.0,2.6,1.2,0.035,-2.7,-0.3,Kings,False
2016,NBA,1,8,Marquese Chriss (↳PHO),Washington,292.0,5338.0,2206.0,1366.0,298.0,0.456,0.29,0.667,18.3,7.6,4.7,1.0,6.5,0.058,-2.4,-0.5,Kings,False
2015,NBA,1,6,Willie Cauley-Stein,Kentucky,422.0,9276.0,3675.0,2470.0,598.0,0.544,0.188,0.612,22.0,8.7,5.9,1.4,23.3,0.121,-0.1,4.4,Kings,True
2014,NBA,1,8,Nik Stauskas,Michigan,343.0,6701.0,2290.0,691.0,515.0,0.389,0.354,0.812,19.5,6.7,2.0,1.5,3.9,0.028,-3.0,-1.7,Kings,False
2013,NBA,1,7,Ben McLemore,Kansas,556.0,12534.0,5015.0,1269.0,563.0,0.414,0.363,0.78,22.5,9.0,2.3,1.0,9.0,0.035,-3.1,-3.4,Kings,False
2013,NBA,2,36,Ray McCallum,Detroit Mercy,154.0,2808.0,920.0,306.0,368.0,0.408,0.335,0.711,18.2,6.0,2.0,2.4,2.1,0.035,-2.6,-0.4,Kings,True
2012,NBA,1,5,Thomas Robinson,Kansas,313.0,4204.0,1528.0,1507.0,190.0,0.47,0.0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.5,-1.6,Kings,False
2012,NBA,2,36,Orlando Johnson (↳IND),UC Santa Barbara,103.0,1112.0,329.0,180.0,69.0,0.358,0.311,0.727,10.8,3.2,1.7,0.7,1.4,0.059,-2.4,-0.1,Kings,False
2011,NBA,1,7,Bismack Biyombo (↳CHA),,839.0,16384.0,4251.0,4951.0,551.0,0.535,0.0,0.553,19.5,5.1,5.9,0.7,32.4,0.095,-2.5,-2.2,Kings,False
2011,NBA,2,35,Tyler Honeycutt,UCLA,24.0,120.0,28.0,24.0,9.0,0.314,0.2,0.714,5.0,1.2,1.0,0.4,-0.1,-0.049,-5.1,-0.1,Kings,False
2011,NBA,2,60,Isaiah Thomas,Washington,556.0,15582.0,9723.0,1321.0,2641.0,0.434,0.363,0.872,28.0,17.5,2.4,4.8,45.3,0.14,2.1,16.1,Kings,True
2010,NBA,1,5,DeMarcus Cousins,Kentucky,654.0,19508.0,12802.0,6664.0,1979.0,0.46,0.331,0.737,29.8,19.6,10.2,3.0,46.8,0.115,2.4,21.6,Kings,True
2010,NBA,2,33,Hassan Whiteside,Marshall,511.0,12645.0,6450.0,5523.0,327.0,0.586,0.308,0.605,24.7,12.6,10.8,0.6,52.0,0.197,2.5,14.5,Kings,True
2009,NBA,1,4,Tyreke Evans,Memphis,594.0,18242.0,9347.0,2720.0,2852.0,0.44,0.323,0.757,30.7,15.7,4.6,4.8,28.4,0.075,0.8,13.1,Kings,False
2009,NBA,1,23,Omri Casspi,,588.0,11959.0,4642.0,2355.0,662.0,0.454,0.368,0.678,20.3,7.9,4.0,1.1,19.6,0.078,-0.8,3.5,Kings,True
