Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Team,VORP_Percentile,WS_Percentile,BPM_Percentile,VORP_PositionPercentile,WS_PositionPercentile,BPM_PositionPercentile,Successful Pick
2020,NBA,1,14,Aaron Nesmith,Vanderbilt,243,5054,2029,768,251,0.452,0.374,0.808,20.8,8.3,3.2,1.0,7.6,0.072,-2.2,-0.2,Celtics,0.44,0.54,0.54,0.35,0.42,0.35,False
2020,NBA,1,26,Payton Pritchard,Oregon,267,4737,2009,645,604,0.444,0.395,0.862,17.7,7.5,2.4,2.3,12.3,0.125,0.1,2.6,Celtics,0.82,0.85,0.8,0.68,0.61,0.84,False
2020,NBA,1,30,Desmond Bane (↳MEM),TCU,244,7069,4253,1020,810,0.468,0.415,0.879,29.0,17.4,4.2,3.3,19.0,0.129,2.2,7.5,Celtics,0.96,0.96,0.96,0.87,0.73,0.97,False
2019,NBA,1,14,Romeo Langford,Indiana,141,2268,650,298,97,0.43,0.288,0.659,16.1,4.6,2.1,0.7,2.0,0.043,-3.4,-0.8,Celtics,0.13,0.39,0.28,0.24,0.16,0.19,False
2019,NBA,1,20,Matisse Thybulle (↳PHI),Washington,332,6957,1586,658,360,0.435,0.338,0.679,21.0,4.8,2.0,1.1,13.2,0.091,0.7,4.7,Celtics,0.89,0.79,0.89,0.84,0.61,0.95,False
2019,NBA,1,22,Grant Williams,Tennessee,364,8231,2558,1311,515,0.453,0.377,0.768,22.6,7.0,3.6,1.4,14.8,0.086,-1.9,0.3,Celtics,0.65,0.84,0.58,0.61,0.67,0.58,False
2019,NBA,2,51,Tremont Waters,LSU,40,407,149,37,85,0.354,0.296,0.96,10.2,3.7,0.9,2.1,0.1,0.012,-3.0,-0.1,Celtics,0.49,0.17,0.4,0.69,0.41,0.62,False
2018,NBA,1,27,Robert Williams,Texas A&M,215,4403,1575,1485,304,0.729,0.0,0.66,20.5,7.3,6.9,1.4,22.6,0.246,4.8,7.5,Celtics,0.88,0.88,0.98,0.84,0.74,1.0,False
2017,NBA,1,3,Jayson Tatum,Duke,513,17561,11852,3670,1812,0.46,0.375,0.844,34.2,23.1,7.2,3.5,55.9,0.153,3.6,24.6,Celtics,1.0,1.0,1.0,0.69,0.57,0.9,True
2017,NBA,2,37,Semi Ojeleye,SMU,284,4111,975,613,126,0.384,0.344,0.717,14.5,3.4,2.2,0.4,5.2,0.06,-3.4,-1.5,Celtics,0.14,0.57,0.25,0.09,0.59,0.44,False
2017,NBA,2,53,Kadeem Allen,Arizona,47,640,258,71,109,0.435,0.349,0.757,13.6,5.5,1.5,2.3,1.0,0.075,-1.2,0.1,Celtics,0.57,0.24,0.61,0.78,0.56,0.83,False
2017,NBA,2,56,Jabari Bird,California,13,115,39,19,8,0.577,0.429,0.462,8.8,3.0,1.5,0.6,0.2,0.098,-3.1,0.0,Celtics,0.49,0.1,0.28,0.75,0.5,0.58,False
2016,NBA,1,3,Jaylen Brown,California,540,16307,10038,2840,1303,0.48,0.364,0.72,30.2,18.6,5.3,2.4,35.3,0.104,0.4,9.7,Celtics,0.86,0.92,0.85,0.4,0.37,0.43,False
2016,NBA,1,16,Guerschon Yabusele,,74,486,173,105,31,0.442,0.323,0.682,6.6,2.3,1.4,0.4,1.1,0.104,-1.9,0.0,Celtics,0.54,0.4,0.58,0.41,0.21,0.44,False
2016,NBA,2,31,Deyonta Davis (↳MEM),Michigan State,107,1299,454,346,47,0.599,0.0,0.635,12.1,4.2,3.2,0.4,3.6,0.131,-2.1,0.0,Celtics,0.54,0.44,0.5,0.72,0.59,0.72,False
2016,NBA,2,45,Demetrius Jackson,Notre Dame,26,136,48,19,17,0.486,0.286,0.667,5.2,1.8,0.7,0.7,0.2,0.087,-0.5,0.1,Celtics,0.62,0.28,0.74,0.56,0.14,0.66,False
2016,NBA,2,58,Abdel Nader,Iowa State,202,2583,926,376,110,0.428,0.357,0.718,12.8,4.6,1.9,0.5,2.8,0.052,-2.6,-0.4,Celtics,0.24,0.42,0.38,0.12,0.77,0.38,False
2015,NBA,1,16,Terry Rozier,Louisville,601,16699,8573,2372,2170,0.42,0.367,0.827,27.8,14.3,3.9,3.6,29.5,0.085,0.6,10.8,Celtics,0.83,0.79,0.79,0.91,0.79,0.85,False
2015,NBA,1,28,R.J. Hunter,Georgia State University,45,395,133,46,19,0.371,0.295,0.818,8.8,3.0,1.0,0.4,0.4,0.051,-2.0,0.0,Celtics,0.35,0.13,0.35,0.61,0.35,0.62,False
2015,NBA,2,33,Jordan Mickey,LSU,64,482,152,128,17,0.449,0.118,0.605,7.5,2.4,2.0,0.3,0.5,0.05,-4.8,-0.3,Celtics,0.27,0.17,0.05,0.44,0.4,0.23,False
2014,NBA,1,6,Marcus Smart,Oklahoma State,601,18046,6430,2111,2786,0.388,0.323,0.776,30.0,10.7,3.5,4.6,33.4,0.089,-0.3,7.6,Celtics,0.77,0.85,0.77,0.77,0.8,0.57,False
2014,NBA,1,17,James Young,Kentucky,95,812,219,96,28,0.367,0.277,0.563,8.5,2.3,1.0,0.3,0.8,0.046,-3.4,-0.3,Celtics,0.36,0.29,0.32,0.45,0.19,0.31,False
2013,NBA,1,16,Lucas Nogueira (↳DAL ↳ATL),,141,1754,446,388,72,0.632,0.265,0.64,12.4,3.2,2.8,0.5,6.0,0.165,2.3,1.9,Celtics,0.66,0.44,0.96,0.67,0.42,1.0,False
2012,NBA,1,21,Jared Sullinger,Ohio State,269,6532,2893,2006,477,0.436,0.272,0.723,24.3,10.8,7.5,1.8,15.3,0.113,-0.4,2.7,Celtics,0.67,0.59,0.79,0.52,0.45,0.58,False
2012,NBA,2,51,Kris Joseph,Syracuse,10,54,9,7,1,0.143,0.0,0.625,5.4,0.9,0.7,0.1,-0.1,-0.127,-9.9,-0.1,Celtics,0.46,0.13,0.04,0.69,0.19,0.12,False
2011,NBA,1,25,MarShon Brooks (↳NJN),Providence,200,3456,1592,424,282,0.447,0.345,0.751,17.3,8.0,2.1,1.4,3.3,0.046,-1.6,0.4,Celtics,0.46,0.35,0.51,0.61,0.48,0.56,False
2011,NBA,2,55,E'Twaun Moore,Purdue,598,12564,4743,1208,1055,0.455,0.388,0.742,21.0,7.9,2.0,1.8,14.8,0.057,-1.9,0.2,Celtics,0.43,0.55,0.42,0.81,0.94,0.72,False
2010,NBA,1,19,Avery Bradley,Texas,660,18151,7279,1863,1105,0.434,0.365,0.783,27.5,11.0,2.8,1.7,17.2,0.045,-2.4,-1.8,Celtics,0.05,0.63,0.4,0.11,0.64,0.51,False
2010,NBA,2,52,Luke Harangody,Notre Dame,70,871,253,196,36,0.376,0.241,0.737,12.4,3.6,2.8,0.5,0.9,0.048,-3.5,-0.3,Celtics,0.2,0.32,0.3,0.48,0.43,0.36,False
2009,NBA,2,58,Lester Hudson,University of Tennessee at Martin,57,594,268,77,71,0.375,0.277,0.806,10.4,4.7,1.4,1.2,0.2,0.016,-2.1,0.0,Celtics,0.32,0.14,0.28,0.65,0.38,0.62,False
2008,NBA,1,30,J.R. Giddens,New Mexico,38,247,73,54,13,0.476,0.0,0.565,6.5,1.9,1.4,0.3,0.1,0.027,-4.3,-0.1,Celtics,0.29,0.15,0.15,0.53,0.26,0.23,False
