Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Team,VORP_Percentile,WS_Percentile,BPM_Percentile,VORP_PositionPercentile,WS_PositionPercentile,BPM_PositionPercentile,Successful Pick
2006,NBA,1,28,Maurice Ager,Michigan State,82,505,169,46,19,0.339,0.25,0.566,6.2,2.1,0.6,0.2,-0.9,-0.089,-9.4,-0.9,Dallas,0.17,0.07,0.02,0.11,0.05,0.03,False
2004,NBA,2,50,Vassilis Spanoulis (↳HOU),,31,272,85,22,28,0.319,0.172,0.81,8.8,2.7,0.7,0.9,-0.1,-0.01,-5.9,-0.3,Dallas,0.28,0.13,0.09,0.21,0.07,0.07,False
2003,NBA,1,29,Josh Howard,Wake Forest,507,15350,7270,2886,817,0.448,0.332,0.77,30.3,14.3,5.7,1.6,38.0,0.119,0.6,10.0,Dallas,0.76,0.72,0.83,0.85,0.92,0.88,False
2001,NBA,2,54,Kenny Satterfield (↳DEN),Cincinnati,75,1062,321,95,176,0.335,0.218,0.746,14.2,4.3,1.3,2.3,-1.1,-0.051,-4.1,-0.6,Dallas,0.23,0.02,0.12,0.13,0.07,0.47,False
2000,NBA,2,31,Dan Langhi (↳HOU),Vanderbilt,133,1253,393,199,39,0.391,0.289,0.613,9.4,3.0,1.5,0.3,0.3,0.012,-4.6,-0.8,Dallas,0.32,0.22,0.16,0.28,0.22,0.26,False
1999,NBA,2,36,Wang Zhizhi,,137,1256,604,231,39,0.417,0.385,0.735,9.2,4.4,1.7,0.3,2.1,0.078,-1.6,0.1,Dallas,0.45,0.26,0.5,0.66,0.57,0.73,False
1999,NBA,2,40,Gordan Giriček (↳SAS),,384,8824,3670,941,584,0.442,0.368,0.823,23.0,9.6,2.5,1.5,8.0,0.044,-2.5,-1.1,Dallas,0.17,0.47,0.34,0.23,0.69,0.46,False
1998,NBA,1,6,Robert Traylor (↳MIL),Michigan,438,6243,2085,1640,312,0.474,0.167,0.577,14.3,4.8,3.7,0.7,13.3,0.102,-1.6,0.7,Dallas,0.56,0.54,0.5,0.49,0.49,0.47,False
1998,NBA,2,30,Ansu Sesay,Ole Miss,127,1301,401,223,62,0.434,0.276,0.64,10.2,3.2,1.8,0.5,1.4,0.051,-3.3,-0.4,Dallas,0.3,0.29,0.27,0.31,0.35,0.44,False
1998,NBA,2,35,Bruno Šundov,,102,524,173,107,18,0.356,0.208,0.526,5.1,1.7,1.0,0.2,-0.7,-0.062,-8.9,-0.9,Dallas,0.23,0.06,0.02,0.11,0.04,0.07,False
1998,NBA,2,53,Greg Buckner,Clemson,570,10895,2878,1593,719,0.45,0.334,0.757,19.1,5.0,2.8,1.3,20.9,0.092,-0.9,3.0,Dallas,0.67,0.65,0.59,1.0,1.0,0.89,False
1997,NBA,1,15,Kelvin Cato (↳POR),Iowa State,541,10617,2960,2874,244,0.507,0.077,0.644,19.6,5.5,5.3,0.5,28.6,0.129,-0.3,4.4,Dallas,0.71,0.76,0.79,0.69,0.69,0.81,False
1997,NBA,2,35,Bubba Wells,Austin Peay State University,39,395,128,68,34,0.414,0.167,0.721,10.1,3.3,1.7,0.9,0.1,0.013,-3.5,-0.2,Dallas,0.43,0.18,0.23,0.43,0.33,0.43,False
1996,NBA,1,9,Samaki Walker,Louisville,445,7612,2376,2089,252,0.462,0.111,0.63,17.1,5.3,4.7,0.6,14.2,0.089,-2.6,-1.1,Dallas,0.13,0.49,0.4,0.17,0.49,0.29,False
1995,NBA,1,12,Cherokee Parks,Duke,472,7459,2056,1703,265,0.47,0.211,0.63,15.8,4.4,3.6,0.6,11.8,0.076,-2.4,-0.7,Dallas,0.21,0.49,0.44,0.33,0.37,0.37,False
1995,NBA,1,24,Loren Meyer,Iowa State,140,2044,645,480,77,0.432,0.348,0.696,14.6,4.6,3.4,0.6,0.5,0.012,-7.2,-2.7,Dallas,0.07,0.24,0.04,0.04,0.21,0.06,False
1994,NBA,1,2,Jason Kidd,California,1391,50111,17529,8725,12091,0.4,0.349,0.785,36.0,12.6,6.3,8.7,138.6,0.133,3.8,73.5,Dallas,1.0,1.0,1.0,0.97,0.97,0.97,True
1994,NBA,1,19,Tony Dumas,Missouri-Kansas City,156,2222,1140,198,186,0.404,0.327,0.608,14.2,7.3,1.3,1.2,1.3,0.027,-3.3,-0.7,Dallas,0.18,0.18,0.28,0.37,0.31,0.4,False
1993,NBA,1,4,Jamal Mashburn,Kentucky,611,22762,11644,3271,2414,0.418,0.345,0.766,37.3,19.1,5.4,4.0,43.7,0.092,0.3,13.4,Dallas,0.86,0.81,0.84,0.66,0.6,0.53,False
1993,NBA,2,28,Lucious Harris,Cal State Long Beach,800,15701,5784,1864,1130,0.426,0.348,0.79,19.6,7.2,2.3,1.4,28.7,0.088,-0.9,4.5,Dallas,0.58,0.65,0.59,0.82,0.85,0.77,False
1993,NBA,2,33,Eric Riley (↳HOU),Michigan,186,1844,574,479,60,0.456,0.0,0.704,9.9,3.1,2.6,0.3,2.5,0.066,-3.8,-0.9,Dallas,0.19,0.38,0.31,0.18,0.58,0.44,False
1992,NBA,1,4,Jim Jackson,Ohio State,885,29067,12690,4152,2851,0.428,0.365,0.825,32.8,14.3,4.7,3.2,35.8,0.059,-0.9,8.2,Dallas,0.77,0.8,0.61,0.51,0.51,0.37,False
1992,NBA,2,30,Sean Rooks,Arizona,749,13560,4676,2877,631,0.459,0.091,0.699,18.1,6.2,3.8,0.8,16.2,0.057,-2.9,-3.1,Dallas,0.02,0.5,0.33,0.13,0.68,0.5,False
1991,NBA,1,6,Doug Smith,Missouri,296,5833,2356,1234,400,0.425,0.083,0.773,19.7,8.0,4.2,1.4,3.0,0.024,-3.6,-2.4,Dallas,0.1,0.41,0.33,0.23,0.17,0.21,False
1991,NBA,2,33,Donald Hodge,Temple,249,3501,1182,809,191,0.437,0.286,0.711,14.1,4.7,3.2,0.8,1.8,0.025,-4.2,-1.9,Dallas,0.19,0.33,0.23,0.06,0.52,0.29,False
1991,NBA,2,35,Mike Iuzzolino,Saint Francis University,122,3049,1096,238,522,0.457,0.404,0.798,25.0,9.0,2.0,4.3,3.7,0.058,-1.9,0.1,Dallas,0.53,0.44,0.53,0.61,0.56,0.59,False
1989,NBA,1,8,Randy White,Louisiana Tech,281,5382,2083,1366,175,0.401,0.193,0.707,19.2,7.4,4.9,0.6,1.9,0.017,-5.0,-4.0,Dallas,0.07,0.39,0.17,0.03,0.2,0.09,False
1989,NBA,2,35,Pat Durham (↳MIL),Colorado State,64,930,323,108,57,0.469,0.192,0.667,14.5,5.0,1.7,0.9,0.7,0.037,-2.0,0.0,Dallas,0.55,0.27,0.56,0.56,0.41,0.56,False
2023,NBA,1,25,Marcus Sasser (↳BOS ↳DET),Houston,71,1351,586,125,236,0.428,0.375,0.879,19.0,8.3,1.8,3.3,0.9,0.033,-2.6,-0.2,Grizzlies,0.4,0.67,0.67,0.48,0.36,0.44,False
2023,NBA,2,45,Gregory Jackson,South Carolina,48,1233,699,196,59,0.428,0.357,0.752,25.7,14.6,4.1,1.2,1.2,0.048,-2.0,0.0,Grizzlies,0.69,0.75,0.72,0.46,0.32,0.46,False
2022,NBA,1,22,Walker Kessler (↳MIN ↳UTA),Auburn,138,3196,1197,1101,129,0.69,0.227,0.548,23.2,8.7,8.0,0.9,11.2,0.168,2.0,3.2,Grizzlies,0.96,0.98,0.98,0.73,0.64,0.97,True
2022,NBA,1,29,TyTy Washington (↳MIN ↳HOU),Kentucky,42,489,159,50,52,0.356,0.244,0.556,11.6,3.8,1.2,1.2,-0.2,-0.022,-6.5,-0.6,Grizzlies,0.3,0.08,0.06,0.29,0.12,0.06,False
2022,NBA,2,47,Vince Williams,VCU,67,1541,551,305,179,0.432,0.35,0.803,23.0,8.2,4.6,2.7,2.7,0.084,-1.2,0.3,Grizzlies,0.79,0.7,0.74,0.72,0.44,0.78,False
2021,NBA,1,17,Trey Murphy (↳NOP),Virginia,198,5002,2324,708,274,0.454,0.392,0.867,25.3,11.7,3.6,1.4,14.9,0.143,1.5,4.4,Grizzlies,0.94,0.92,0.93,0.75,0.66,0.91,False
2021,NBA,2,51,Brandon Boston Jr. (↳LAC ↳NOP),Kentucky,105,1353,653,193,84,0.396,0.313,0.776,12.9,6.2,1.8,0.8,0.3,0.012,-4.6,-0.9,Grizzlies,0.17,0.21,0.16,0.16,0.5,0.44,False
2020,NBA,2,40,Robert Woodard (↳SAC),Mississippi State,25,87,27,27,5,0.278,0.2,0.5,3.5,1.1,1.1,0.2,-0.1,-0.077,-7.7,-0.1,Grizzlies,0.52,0.12,0.09,0.52,0.13,0.15,False
2019,NBA,1,2,Ja Morant,Murray State,257,8282,5783,1243,1903,0.472,0.318,0.755,32.2,22.5,4.8,7.4,20.5,0.119,2.8,10.1,Grizzlies,1.0,0.95,0.97,0.61,0.39,0.91,True
2018,NBA,1,4,Jaren Jackson,Michigan State,333,9432,5877,1841,454,0.46,0.345,0.795,28.3,17.6,5.5,1.4,22.4,0.114,0.6,6.3,Grizzlies,0.85,0.85,0.8,0.46,0.37,0.59,False
2018,NBA,2,32,Jevon Carter,West Virginia,376,5958,1992,648,611,0.396,0.383,0.798,15.8,5.3,1.7,1.6,8.2,0.066,-1.4,0.8,Grizzlies,0.56,0.46,0.58,0.79,0.75,0.79,False
2016,NBA,1,17,Wade Baldwin,Vanderbilt,56,579,174,69,78,0.355,0.25,0.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.3,-0.5,Grizzlies,0.19,0.06,0.14,0.28,0.09,0.06,False
2015,NBA,1,25,Jarell Martin,LSU,184,2927,998,639,114,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-4.3,-1.7,Grizzlies,0.05,0.24,0.12,0.06,0.44,0.24,False
2014,NBA,1,22,Jordan Adams,UCLA,32,263,101,30,19,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,1.7,0.2,Grizzlies,0.54,0.24,0.92,0.58,0.18,0.94,False
2013,NBA,2,41,Jamaal Franklin,San Diego State,24,174,42,25,9,0.415,0.462,1.0,7.3,1.8,1.0,0.4,0.0,-0.006,-5.9,-0.2,Grizzlies,0.3,0.16,0.12,0.5,0.35,0.21,False
2013,NBA,2,55,Joffrey Lauvergne (↳DEN),,208,2823,1159,789,180,0.479,0.285,0.719,13.6,5.6,3.8,0.9,5.2,0.089,-2.1,-0.1,Grizzlies,0.39,0.42,0.41,0.41,0.69,0.62,False
2012,NBA,1,25,Tony Wroten,Washington,145,3076,1604,363,437,0.413,0.231,0.647,21.2,11.1,2.5,3.0,-1.3,-0.021,-3.4,-1.1,Grizzlies,0.15,0.02,0.35,0.26,0.03,0.3,False
2011,NBA,2,49,Josh Selby,Kansas,38,296,83,20,34,0.33,0.143,0.72,7.8,2.2,0.5,0.9,-0.7,-0.113,-9.5,-0.6,Grizzlies,0.18,0.04,0.02,0.29,0.1,0.1,False
2010,NBA,1,12,Xavier Henry,Kansas,185,2905,1050,351,120,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013,-4.4,-1.7,Grizzlies,0.07,0.29,0.17,0.23,0.1,0.13,False
2010,NBA,1,25,Dominique Jones,South Florida,80,741,246,114,144,0.366,0.095,0.729,9.3,3.1,1.4,1.8,0.3,0.017,-2.4,-0.1,Grizzlies,0.37,0.22,0.4,0.52,0.24,0.52,False
2010,NBA,1,28,Greivis Vásquez,Maryland,401,9520,3591,1021,1935,0.418,0.349,0.817,23.7,9.0,2.5,4.8,12.6,0.064,-1.2,1.8,Grizzlies,0.61,0.61,0.61,0.73,0.7,0.73,False
2009,NBA,1,27,DeMarre Carroll,Missouri,578,13675,5150,2454,726,0.43,0.358,0.741,23.7,8.9,4.2,1.3,29.5,0.104,0.0,6.7,Grizzlies,0.67,0.71,0.69,0.77,0.84,0.82,False
2009,NBA,2,36,Sam Young,Pitt,249,3966,1436,573,180,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2,0.063,-2.1,-0.1,Grizzlies,0.26,0.39,0.28,0.43,0.73,0.52,False
2008,NBA,1,5,Kevin Love (↳MIN),UCLA,929,27254,15299,9403,2151,0.439,0.369,0.829,29.3,16.5,10.1,2.3,94.5,0.166,3.3,36.2,Grizzlies,0.98,0.96,0.98,0.89,0.89,0.94,True
2008,NBA,1,28,Donté Greene (↳HOU ↳SAC),Syracuse,253,4259,1541,600,183,0.406,0.304,0.701,16.8,6.1,2.4,0.7,1.5,0.017,-2.8,-0.9,Grizzlies,0.06,0.26,0.22,0.11,0.42,0.45,False
2007,NBA,1,4,Mike Conley,Ohio State,1101,34841,15888,3272,6306,0.439,0.387,0.823,31.6,14.4,3.0,5.7,100.5,0.139,2.5,39.2,Grizzlies,0.95,0.95,0.91,0.94,0.86,0.93,True
2006,NBA,1,24,Kyle Lowry,Villanova,1138,36021,16218,4894,7003,0.424,0.368,0.815,31.7,14.3,4.3,6.2,111.6,0.149,2.8,43.2,Grizzlies,1.0,0.98,0.98,1.0,1.0,0.97,True
2005,NBA,1,19,Hakim Warrick,Syracuse,526,10624,4947,2117,400,0.49,0.191,0.726,20.2,9.4,4.0,0.8,20.4,0.092,-1.9,0.4,Grizzlies,0.4,0.54,0.3,0.54,0.71,0.54,False
2003,NBA,1,13,Marcus Banks (↳BOS),UNLV,348,5571,2061,519,728,0.432,0.327,0.768,16.0,5.9,1.5,2.1,6.6,0.057,-2.0,-0.1,Grizzlies,0.36,0.23,0.38,0.37,0.38,0.38,False
2003,NBA,1,27,Kendrick Perkins (↳BOS),,782,17162,4214,4532,813,0.53,0.0,0.594,21.9,5.4,5.8,1.0,27.9,0.078,-1.9,0.6,Grizzlies,0.46,0.64,0.42,0.55,0.81,0.39,False
2002,NBA,1,4,Drew Gooden,Kansas,790,20127,8653,5618,896,0.462,0.257,0.76,25.5,11.0,7.1,1.1,43.9,0.105,-1.2,4.3,Grizzlies,0.77,0.82,0.75,0.41,0.63,0.3,False
2002,NBA,2,46,Matt Barnes (↳CLE),UCLA,929,21967,7589,4281,1691,0.436,0.335,0.745,23.6,8.2,4.6,1.8,42.8,0.093,-0.1,10.7,Grizzlies,0.84,0.8,0.86,0.96,0.96,0.83,False
2001,NBA,1,6,Shane Battier,Duke,977,30004,8408,4082,1717,0.437,0.384,0.743,30.7,8.6,4.2,1.8,75.7,0.121,1.7,28.2,Grizzlies,0.95,0.86,0.93,0.97,0.97,0.93,True
2001,NBA,1,27,Jamaal Tinsley (↳ATL ↳IND),Iowa State,547,14443,4652,1605,3330,0.393,0.299,0.716,26.4,8.5,2.9,6.1,17.2,0.057,0.0,7.1,Grizzlies,0.71,0.6,0.71,0.81,0.71,0.82,False
2001,NBA,2,33,Will Solomon,Clemson,115,1584,584,132,225,0.378,0.298,0.692,13.8,5.1,1.1,2.0,0.0,0.0,-3.3,-0.5,Grizzlies,0.27,0.2,0.21,0.29,0.15,0.55,False
2001,NBA,2,48,Antonis Fotsis,,28,320,108,62,10,0.404,0.304,0.85,11.4,3.9,2.2,0.4,0.1,0.017,-3.4,-0.1,Grizzlies,0.46,0.24,0.19,0.61,0.3,0.45,False
2000,NBA,1,2,Stromile Swift,LSU,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1,Grizzlies,0.7,0.77,0.67,0.33,0.45,0.3,False
1999,NBA,1,2,Steve Francis (↳HOU),Maryland,576,21632,10446,3215,3473,0.429,0.341,0.797,37.6,18.1,5.6,6.0,54.1,0.12,2.2,22.7,Grizzlies,0.76,0.74,0.88,0.82,0.7,0.83,False
1999,NBA,2,37,Obinna Ekezie,Maryland,143,1516,510,383,31,0.423,0.0,0.72,10.6,3.6,2.7,0.2,1.7,0.054,-5.4,-1.3,Grizzlies,0.12,0.21,0.12,0.15,0.52,0.19,False
1998,NBA,1,2,Mike Bibby,Arizona,1001,33962,14698,3103,5517,0.436,0.379,0.802,33.9,14.7,3.1,5.5,73.2,0.104,0.8,23.8,Grizzlies,0.92,0.92,0.9,0.85,0.82,0.7,False
1998,NBA,2,56,J.R. Henderson,UCLA,30,331,97,47,22,0.365,0.4,0.556,11.0,3.2,1.6,0.7,-0.2,-0.025,-4.8,-0.2,Grizzlies,0.35,0.08,0.16,0.42,0.21,0.33,False
1997,NBA,1,4,Antonio Daniels,Bowling Green,872,19671,6623,1613,2934,0.444,0.311,0.793,22.6,7.6,1.8,3.4,47.0,0.115,0.0,10.1,Grizzlies,0.86,0.93,0.86,0.57,0.66,0.46,False
1996,NBA,1,3,Shareef Abdur-Rahim,California,830,28882,15028,6239,2109,0.472,0.297,0.81,34.8,18.1,7.5,2.5,71.2,0.118,1.0,21.9,Grizzlies,0.84,0.84,0.81,0.63,0.8,0.53,False
1996,NBA,1,22,Roy Rogers,Alabama,137,2309,652,483,57,0.483,0.5,0.532,16.9,4.8,3.5,0.4,1.7,0.035,-3.7,-1.0,Grizzlies,0.17,0.24,0.26,0.17,0.42,0.24,False
1996,NBA,2,51,Chris Robinson,Western Kentucky,76,1095,350,117,104,0.376,0.374,0.571,14.4,4.6,1.5,1.4,-0.1,-0.003,-4.0,-0.6,Grizzlies,0.33,0.05,0.17,0.28,0.19,0.56,False
1995,NBA,1,6,Bryant Reeves,Oklahoma State,395,12071,4945,2745,623,0.475,0.074,0.703,30.6,12.5,6.9,1.6,13.0,0.052,-3.4,-4.3,Grizzlies,0.02,0.51,0.33,0.06,0.46,0.27,False
1995,NBA,2,36,Lawrence Moten,Syracuse,119,1814,747,181,182,0.408,0.299,0.652,15.2,6.3,1.5,1.5,0.0,0.001,-2.1,0.0,Grizzlies,0.54,0.14,0.52,0.55,0.16,0.52,False
2023,NBA,1,15,Kobe Bufkin,Michigan,17,196,81,33,27,0.37,0.225,0.5,11.5,4.8,1.9,1.6,-0.1,-0.031,-4.5,-0.1,Hawks,0.53,0.19,0.32,0.38,0.12,0.22,False
2023,NBA,2,46,Seth Lundy,Penn State,9,52,14,7,0,0.235,0.231,0.75,5.8,1.6,0.8,0.0,-0.1,-0.092,-12.7,-0.1,Hawks,0.53,0.19,0.06,0.46,0.06,0.04,False
2022,NBA,1,16,A.J. Griffin,Duke,92,1572,687,171,78,0.447,0.372,0.898,17.1,7.5,1.9,0.8,1.8,0.053,-1.7,0.1,Hawks,0.72,0.62,0.68,0.48,0.24,0.52,False
2022,NBA,2,44,Ryan Rollins (↳GSW),Toledo,25,140,67,25,20,0.447,0.462,0.826,5.6,2.7,1.0,0.8,0.0,-0.01,-3.5,-0.1,Hawks,0.51,0.12,0.38,0.62,0.09,0.38,False
2021,NBA,1,20,Jalen Johnson,Duke,148,3051,1343,796,289,0.506,0.328,0.694,20.6,9.1,5.4,2.0,6.0,0.095,0.6,2.0,Hawks,0.86,0.73,0.86,0.68,0.39,0.9,False
2020,NBA,1,6,Onyeka Okongwu,USC,233,4847,1972,1398,226,0.64,0.318,0.754,20.8,8.5,6.0,1.0,17.7,0.175,0.2,2.7,Hawks,0.85,0.93,0.82,0.54,0.54,0.66,False
2020,NBA,2,50,Skylar Mays,LSU,105,1111,451,122,182,0.445,0.345,0.859,10.6,4.3,1.2,1.7,2.1,0.092,-0.7,0.4,Hawks,0.66,0.41,0.7,0.79,0.57,0.93,False
2019,NBA,1,8,Jaxson Hayes (↳NOP),Texas,311,4929,2111,1174,201,0.636,0.268,0.707,15.8,6.8,3.8,0.6,16.4,0.16,-0.4,2.0,Hawks,0.82,0.86,0.81,0.54,0.53,0.71,False
2019,NBA,1,10,Cam Reddish,Duke,221,5287,2046,612,275,0.398,0.324,0.833,23.9,9.3,2.8,1.2,2.6,0.023,-3.2,-1.6,Hawks,0.06,0.4,0.34,0.09,0.13,0.13,False
2019,NBA,2,35,Marcos Louzada Silva (↳NOP),,12,185,43,20,8,0.326,0.355,1.0,15.4,3.6,1.7,0.7,-0.1,-0.034,-8.1,-0.3,Hawks,0.32,0.06,0.07,0.33,0.2,0.11,False
2018,NBA,1,3,Luka Dončić (↳DAL),,400,13943,11470,3472,3317,0.47,0.347,0.747,34.9,28.7,8.7,8.3,51.2,0.176,7.8,34.3,Hawks,1.0,1.0,1.0,0.83,0.46,1.0,True
2018,NBA,1,19,Kevin Huerter,Maryland,413,11887,4920,1433,1258,0.444,0.382,0.766,28.8,11.9,3.5,3.0,17.2,0.07,-0.8,3.5,Hawks,0.73,0.73,0.63,0.83,0.64,0.74,False
2018,NBA,1,30,Omari Spellman,Villanova,95,1691,642,413,94,0.417,0.366,0.766,17.8,6.8,4.3,1.0,2.4,0.068,-1.5,0.2,Hawks,0.46,0.33,0.54,0.58,0.39,0.65,False
2018,NBA,2,34,Devonte' Graham (↳CHO),Kansas,336,8359,3733,758,1448,0.371,0.354,0.812,24.9,11.1,2.3,4.3,12.7,0.073,-0.5,3.2,Hawks,0.71,0.6,0.65,0.9,0.83,0.86,False
2017,NBA,1,19,John Collins,Wake Forest,432,12519,6795,3478,617,0.548,0.358,0.785,29.0,15.7,8.1,1.4,36.7,0.141,0.6,8.3,Hawks,0.88,0.93,0.8,0.86,0.91,0.9,False
2017,NBA,2,41,Tyler Dorsey,Oregon,107,1680,710,245,135,0.392,0.351,0.669,15.7,6.6,2.3,1.3,1.1,0.031,-3.0,-0.5,Hawks,0.27,0.28,0.31,0.33,0.62,0.58,False
2016,NBA,1,21,DeAndre' Bembry,Saint Joseph's,296,5670,1750,950,533,0.474,0.283,0.611,19.2,5.9,3.2,1.8,4.4,0.038,-2.3,-0.4,Hawks,0.24,0.5,0.44,0.23,0.26,0.33,False
2016,NBA,2,54,Kay Felder (↳CLE),Oakland,58,526,223,59,78,0.364,0.268,0.754,9.1,3.8,1.0,1.3,-0.4,-0.041,-4.7,-0.4,Hawks,0.24,0.04,0.22,0.3,0.13,0.37,False
2015,NBA,1,15,Kelly Oubre (↳WAS),Kansas,595,15664,7790,2664,639,0.435,0.327,0.751,26.3,13.1,4.5,1.1,22.2,0.068,-1.8,0.7,Hawks,0.46,0.59,0.39,0.56,0.62,0.52,False
2014,NBA,1,15,Adreian Payne,Michigan State,107,1403,429,315,66,0.406,0.254,0.68,13.1,4.0,2.9,0.6,-0.6,-0.019,-5.9,-1.4,Hawks,0.06,0.03,0.09,0.16,0.05,0.09,False
2013,NBA,1,17,Dennis Schröder,,767,20919,10758,2236,3693,0.434,0.342,0.836,27.3,14.0,2.9,4.8,29.5,0.068,-1.4,3.1,Hawks,0.72,0.78,0.58,0.69,0.78,0.66,False
2013,NBA,1,18,Shane Larkin (↳DAL),Miami (FL),256,4880,1399,490,737,0.422,0.336,0.777,19.1,5.5,1.9,2.9,4.4,0.044,-2.4,-0.6,Hawks,0.07,0.38,0.37,0.31,0.43,0.43,False
2013,NBA,2,47,Raul Neto (↳UTA),,435,6765,2470,658,913,0.458,0.361,0.812,15.6,5.7,1.5,2.1,11.6,0.082,-1.5,0.8,Hawks,0.54,0.54,0.55,0.83,0.78,0.67,False
2013,NBA,2,50,James Ennis (↳MIA),Cal State Long Beach,395,8022,2629,1306,373,0.457,0.36,0.797,20.3,6.7,3.3,0.9,16.2,0.097,-1.5,0.9,Hawks,0.57,0.64,0.55,0.93,0.93,0.86,False
2012,NBA,1,23,John Jenkins,Vanderbilt,171,2183,855,250,138,0.441,0.367,0.847,12.8,5.0,1.5,0.8,3.0,0.065,-1.9,0.1,Hawks,0.55,0.41,0.53,0.47,0.29,0.48,False
2012,NBA,2,43,Mike Scott,Virginia,555,9182,3736,1727,499,0.453,0.362,0.757,16.5,6.7,3.1,0.9,16.8,0.088,-1.7,0.6,Hawks,0.6,0.63,0.59,0.7,0.7,0.67,False
2010,NBA,1,24,Damion James (↳NJN),Texas,39,623,150,131,26,0.415,0.0,0.667,16.0,3.8,3.4,0.7,0.0,-0.001,-3.7,-0.3,Hawks,0.2,0.13,0.27,0.4,0.09,0.36,False
2010,NBA,2,53,Pape Sy,,3,21,7,3,2,0.333,0.0,1.0,7.0,2.3,1.0,0.7,0.0,-0.047,-6.0,0.0,Hawks,0.43,0.13,0.1,0.69,0.33,0.31,False
2009,NBA,1,19,Jeff Teague,Wake Forest,826,22164,10061,1989,4585,0.444,0.36,0.844,26.8,12.2,2.4,5.6,52.4,0.113,0.6,14.3,Hawks,0.88,0.88,0.8,0.94,0.94,0.9,False
2007,NBA,1,3,Al Horford,Florida,1078,34259,14167,8574,3501,0.513,0.379,0.76,31.8,13.1,8.0,3.2,112.7,0.158,3.0,42.9,Hawks,0.98,0.98,0.95,0.89,0.91,0.81,True
2007,NBA,1,11,Acie Law,Texas A&M,188,2385,725,195,309,0.413,0.235,0.778,12.7,3.9,1.0,1.6,1.6,0.032,-3.9,-1.1,Hawks,0.15,0.28,0.25,0.12,0.16,0.09,False
2006,NBA,1,5,Shelden Williams,Duke,361,5586,1618,1562,163,0.462,0.222,0.74,15.5,4.5,4.3,0.5,9.9,0.085,-3.0,-1.5,Hawks,0.13,0.59,0.43,0.11,0.29,0.11,False
2006,NBA,2,33,Solomon Jones,South Florida,281,3092,839,654,99,0.467,0.111,0.717,11.0,3.0,2.3,0.4,5.0,0.078,-4.0,-1.6,Hawks,0.11,0.48,0.28,0.13,0.71,0.34,False
2005,NBA,1,2,Marvin Williams,UNC,1072,30159,10965,5546,1373,0.443,0.361,0.808,28.1,10.2,5.2,1.3,65.1,0.104,-0.4,12.3,Hawks,0.83,0.91,0.64,0.7,0.76,0.45,False
2005,NBA,2,31,Salim Stoudamire,Arizona,157,2672,1260,214,164,0.407,0.366,0.882,17.0,8.0,1.4,1.0,2.2,0.04,-2.9,-0.6,Hawks,0.16,0.2,0.22,0.41,0.48,0.56,False
2004,NBA,1,6,Josh Childress,Stanford,391,10432,3548,1850,609,0.522,0.329,0.779,26.7,9.1,4.7,1.6,25.7,0.118,0.8,7.4,Hawks,0.62,0.51,0.79,0.73,0.74,0.83,False
2004,NBA,1,17,Josh Smith,,894,29000,12996,6653,2789,0.452,0.285,0.632,32.4,14.5,7.4,3.1,51.0,0.084,1.7,27.2,Hawks,0.95,0.82,0.95,0.97,0.94,0.95,True
2004,NBA,2,34,Donta Smith,Southeastern Illinois College,61,560,165,66,48,0.421,0.308,0.65,9.2,2.7,1.1,0.8,0.5,0.043,-3.2,-0.2,Hawks,0.33,0.27,0.36,0.52,0.41,0.34,False
2004,NBA,2,37,Royal Ivey,Texas,492,6162,1641,557,501,0.406,0.361,0.706,12.5,3.3,1.1,1.0,4.5,0.035,-3.8,-2.7,Hawks,0.05,0.37,0.26,0.04,0.56,0.41,False
2003,NBA,1,21,Boris Diaw,,1064,28768,9139,4634,3684,0.493,0.336,0.717,27.0,8.6,4.4,3.5,51.6,0.086,0.1,15.5,Hawks,0.85,0.79,0.77,0.94,0.94,0.7,False
2003,NBA,2,37,Travis Hansen,BYU,41,507,123,70,19,0.354,0.3,0.815,12.4,3.0,1.7,0.5,0.2,0.019,-6.2,-0.5,Hawks,0.28,0.13,0.08,0.35,0.24,0.07,False
2002,NBA,2,37,David Andersen,,103,1264,501,292,57,0.44,0.347,0.674,12.3,4.9,2.8,0.6,1.5,0.059,-2.9,-0.3,Hawks,0.42,0.36,0.3,0.43,0.48,0.52,False
2001,NBA,1,3,Pau Gasol (↳VAN),,1226,41001,20894,11305,3925,0.507,0.368,0.753,33.4,17.0,9.2,3.2,144.1,0.169,3.6,57.5,Hawks,1.0,1.0,1.0,0.97,0.97,0.9,True
2001,NBA,2,34,Terence Morris (↳HOU),Maryland,139,1934,472,377,93,0.407,0.196,0.711,13.9,3.4,2.7,0.7,1.0,0.025,-2.8,-0.4,Hawks,0.32,0.29,0.3,0.36,0.55,0.47,False
